name,url
Christopher O. Barnes,https://biology.stanford.edu/people/christopher-o-barnes
Dominique Bergmann,https://biology.stanford.edu/people/dominique-bergmann
Barbara Block,https://biology.stanford.edu/people/barbara-block
Xiaoke Chen,https://biology.stanford.edu/people/xiaoke-chen
Jonas Cremer,https://biology.stanford.edu/people/jonas-cremer
Martha S. Cyert,https://biology.stanford.edu/people/martha-s-cyert
Gretchen C. Daily,https://biology.stanford.edu/people/gretchen-c-daily
José R. Dinneny,https://biology.stanford.edu/people/jose-r-dinneny
Rodolfo Dirzo,https://biology.stanford.edu/people/rodolfo-dirzo
Scott Dixon,https://biology.stanford.edu/people/scott-dixon
Jessica Feldman,https://biology.stanford.edu/people/jessica-feldman
Marcus Feldman,https://biology.stanford.edu/people/marcus-feldman
Chris Field,https://biology.stanford.edu/people/chris-field
Hunter Fraser,https://biology.stanford.edu/people/hunter-fraser
Judith Frydman,https://biology.stanford.edu/people/judith-frydman
Tadashi Fukami,https://biology.stanford.edu/people/tadashi-fukami
Deborah M Gordon,https://biology.stanford.edu/people/deborah-m-gordon
Or Gozani,https://biology.stanford.edu/people/or-gozani
Elizabeth Hadly,https://biology.stanford.edu/people/elizabeth-hadly
H. Craig Heller,https://biology.stanford.edu/people/h-craig-heller
Mary Hynes,https://biology.stanford.edu/people/mary-hynes
Christine Jacobs-Wagner,https://biology.stanford.edu/people/christine-jacobs-wagner
Richard Klein,https://biology.stanford.edu/people/richard-klein
Ron Kopito,https://biology.stanford.edu/people/ron-kopito
Sharon R. Long,https://biology.stanford.edu/people/sharon-r-long
Christopher Lowe,https://biology.stanford.edu/people/christopher-lowe
Liqun Luo,https://biology.stanford.edu/people/liqun-luo
Susan K. McConnell,https://biology.stanford.edu/people/susan-k-mcconnell
Erin Mordecai,https://biology.stanford.edu/people/erin-mordecai
Ashby Morrison,https://biology.stanford.edu/people/ashby-morrison
Mary Beth Mudgett,https://biology.stanford.edu/people/mary-beth-mudgett
Lauren O'Connell,https://biology.stanford.edu/people/lauren-oconnell
Stephen Palumbi,https://biology.stanford.edu/people/stephen-palumbi
Kabir Peay,https://biology.stanford.edu/people/kabir-peay
Dmitri Petrov,https://biology.stanford.edu/people/dmitri-petrov
Jonathan Pritchard,https://biology.stanford.edu/people/jonathan-pritchard
Kristy Red-Horse,https://biology.stanford.edu/people/kristy-red-horse
Noah Rosenberg,https://biology.stanford.edu/people/noah-rosenberg
Robert Sapolsky,https://biology.stanford.edu/people/robert-sapolsky
Mark J. Schnitzer,https://biology.stanford.edu/people/mark-j-schnitzer
Molly Schumer,https://biology.stanford.edu/people/molly-schumer
Naima G. Sharaf,https://biology.stanford.edu/people/naima-g-sharaf
Carla Shatz,https://biology.stanford.edu/people/carla-shatz
Kang Shen,https://biology.stanford.edu/people/kang-shen
Michael Simon,https://biology.stanford.edu/people/michael-simon
Jan Skotheim,https://biology.stanford.edu/people/jan-skotheim
Marc Tessier-Lavigne,https://biology.stanford.edu/people/marc-tessier-lavigne
Stuart Thompson,https://biology.stanford.edu/people/stuart-thompson
Alice Ting,https://biology.stanford.edu/people/alice-ting
Shripad Tuljapurkar,https://biology.stanford.edu/people/shripad-tuljapurkar
Virginia Walbot,https://biology.stanford.edu/people/virginia-walbot
